clock,covid19,others,total
684,0,1,1
685,0,0,0
686,0,0,0
687,0,0,0
688,0,0,0
689,0,0,0
690,0,0,0
691,0,0,0
692,0,0,0
693,0,0,0
694,0,1,1
695,0,1,1
696,0,0,0
697,0,0,0
698,0,1,1
699,0,1,1
700,0,0,0
701,1,0,1
702,1,0,1
703,1,0,1
704,0,0,0
705,0,0,0
706,0,0,0
707,0,0,0
708,0,0,0
709,0,0,0
710,0,0,0
711,0,1,1
712,0,0,0
713,0,0,0
714,0,1,1
715,0,1,1
716,0,0,0
717,0,0,0
718,0,1,1
719,0,1,1
720,0,0,0
721,0,0,0
722,0,0,0
723,0,0,0
724,0,0,0
725,0,0,0
726,0,0,0
727,0,0,0
728,0,1,1
729,0,0,0
730,0,0,0
731,0,1,1
732,0,2,2
733,0,2,2
734,0,2,2
735,0,3,3
736,0,3,3
737,0,4,4
738,0,4,4
739,0,4,4
740,0,5,5
741,0,6,6
742,0,6,6
743,0,5,5
744,0,6,6
745,0,7,7
746,0,7,7
747,0,7,7
748,0,8,8
749,0,6,6
750,0,7,7
751,0,7,7
752,0,6,6
753,0,6,6
754,0,6,6
755,0,6,6
756,0,6,6
757,0,7,7
758,0,6,6
759,0,6,6
760,0,6,6
761,0,5,5
762,0,5,5
763,0,5,5
764,0,6,6
765,0,5,5
766,0,6,6
767,0,5,5
768,0,5,5
769,0,6,6
770,0,7,7
771,0,6,6
772,0,7,7
773,0,7,7
774,0,7,7
775,0,6,6
776,0,7,7
777,0,7,7
778,0,7,7
779,0,7,7
780,0,7,7
781,0,8,8
782,0,6,6
783,0,6,6
784,0,6,6
785,0,6,6
786,0,7,7
787,0,7,7
788,0,6,6
789,0,7,7
790,0,7,7
791,0,7,7
792,0,7,7
793,0,7,7
794,0,6,6
795,0,6,6
796,0,6,6
797,0,7,7
798,0,8,8
799,0,7,7
800,0,7,7
801,0,7,7
802,0,8,8
803,0,8,8
804,0,8,8
805,0,8,8
806,0,9,9
807,0,9,9
808,0,8,8
809,0,8,8
810,0,8,8
811,0,5,5
812,0,5,5
813,0,5,5
814,0,5,5
815,0,5,5
816,0,6,6
817,0,6,6
818,0,6,6
819,0,6,6
820,0,7,7
821,0,4,4
822,0,4,4
823,0,5,5
824,0,5,5
825,0,3,3
826,0,3,3
827,0,3,3
828,0,3,3
829,0,2,2
830,0,3,3
831,0,3,3
832,0,4,4
833,0,4,4
834,0,4,4
835,0,4,4
836,0,5,5
837,0,4,4
838,0,4,4
839,1,4,5
840,0,5,5
841,0,6,6
842,0,6,6
843,0,6,6
844,0,6,6
845,0,7,7
846,0,5,5
847,0,5,5
848,0,4,4
849,0,5,5
850,0,5,5
851,0,5,5
852,0,5,5
853,0,5,5
854,0,3,3
855,0,3,3
856,0,2,2
857,0,3,3
858,0,4,4
859,0,2,2
860,0,2,2
861,0,2,2
862,0,3,3
863,0,2,2
864,0,2,2
865,0,2,2
866,0,2,2
867,0,2,2
868,0,1,1
869,0,1,1
870,0,2,2
871,0,3,3
872,0,4,4
873,0,5,5
874,0,4,4
875,0,4,4
876,0,5,5
877,0,5,5
878,0,6,6
879,0,6,6
880,0,4,4
881,1,4,5
882,1,4,5
883,0,4,4
884,0,4,4
885,0,3,3
886,0,4,4
887,0,4,4
888,0,5,5
889,0,2,2
890,0,2,2
891,0,2,2
892,0,2,2
893,0,1,1
894,1,1,2
895,1,1,2
896,1,2,3
897,1,2,3
898,1,2,3
899,0,2,2
900,0,3,3
901,0,4,4
902,0,5,5
903,0,5,5
904,0,6,6
905,0,6,6
906,0,7,7
907,0,8,8
908,0,8,8
909,0,8,8
910,0,9,9
911,0,9,9
912,0,9,9
913,0,9,9
914,0,10,10
915,0,10,10
916,0,10,10
917,0,8,8
918,0,8,8
919,0,7,7
920,0,7,7
921,0,7,7
922,0,7,7
923,0,8,8
924,0,7,7
925,0,7,7
926,0,7,7
927,0,7,7
928,0,5,5
929,0,6,6
930,0,6,6
931,0,6,6
932,0,6,6
933,0,6,6
934,0,5,5
935,0,6,6
936,0,5,5
937,0,5,5
938,0,6,6
939,0,7,7
940,0,5,5
941,1,5,6
942,1,5,6
943,1,5,6
944,0,5,5
945,0,6,6
946,0,5,5
947,0,6,6
948,0,6,6
949,0,5,5
950,0,6,6
951,0,4,4
952,0,4,4
953,0,4,4
954,0,4,4
955,0,5,5
956,0,6,6
957,0,7,7
958,0,7,7
959,0,7,7
960,1,7,8
961,1,7,8
962,1,8,9
963,0,8,8
964,0,8,8
965,0,9,9
966,0,9,9
967,0,9,9
968,0,5,5
969,0,5,5
970,0,5,5
971,0,6,6
972,0,6,6
973,0,5,5
974,0,5,5
975,0,6,6
976,0,6,6
977,0,6,6
978,0,6,6
979,0,5,5
980,0,6,6
981,0,6,6
982,0,6,6
983,0,6,6
984,0,7,7
985,1,7,8
986,2,7,9
987,1,7,8
988,1,7,8
989,0,7,7
990,1,7,8
991,1,8,9
992,1,8,9
993,1,9,10
994,0,6,6
995,0,7,7
996,0,8,8
997,0,9,9
998,0,9,9
999,0,9,9
1000,0,8,8
1001,0,8,8
1002,0,9,9
1003,0,5,5
1004,0,6,6
1005,0,6,6
1006,1,6,7
1007,0,6,6
1008,0,6,6
1009,0,6,6
1010,0,7,7
1011,0,8,8
1012,0,5,5
1013,0,5,5
1014,0,6,6
1015,0,6,6
1016,0,5,5
1017,0,6,6
1018,0,6,6
1019,0,6,6
1020,0,6,6
1021,0,6,6
1022,0,5,5
1023,0,6,6
1024,0,6,6
1025,0,4,4
1026,0,5,5
1027,0,6,6
1028,0,6,6
1029,1,6,7
1030,1,6,7
1031,0,7,7
1032,0,8,8
1033,0,7,7
1034,0,8,8
1035,0,8,8
1036,0,8,8
1037,0,8,8
1038,0,9,9
1039,0,8,8
1040,0,8,8
1041,0,8,8
1042,0,8,8
1043,0,8,8
1044,1,8,9
1045,0,8,8
1046,0,8,8
1047,0,9,9
1048,0,9,9
1049,0,9,9
1050,0,10,10
1051,1,10,11
1052,0,10,10
1053,0,11,11
1054,0,9,9
1055,0,9,9
1056,0,9,9
1057,0,7,7
1058,0,8,8
1059,0,5,5
1060,0,5,5
1061,1,5,6
1062,1,6,7
1063,0,6,6
1064,0,6,6
1065,0,4,4
1066,0,4,4
1067,0,4,4
1068,0,4,4
1069,0,5,5
1070,0,5,5
1071,0,5,5
1072,0,6,6
1073,0,6,6
1074,0,7,7
1075,0,7,7
1076,0,7,7
1077,0,6,6
1078,0,7,7
1079,0,8,8
1080,0,8,8
1081,0,9,9
1082,0,7,7
1083,0,7,7
1084,0,6,6
1085,0,6,6
1086,0,6,6
1087,0,7,7
1088,0,5,5
1089,0,5,5
1090,0,5,5
1091,0,5,5
1092,0,5,5
1093,0,6,6
1094,0,5,5
1095,0,6,6
1096,0,5,5
1097,0,5,5
1098,0,4,4
1099,0,5,5
1100,0,4,4
1101,0,4,4
1102,0,4,4
1103,0,4,4
1104,0,5,5
1105,0,6,6
1106,0,5,5
1107,0,6,6
1108,0,5,5
1109,0,6,6
1110,0,7,7
1111,0,8,8
1112,0,6,6
1113,0,7,7
